code,description_pt,section,category,article_set,source,url,retrieved_at,confidence
ST,Inclusao de etapa devido cancelamento de escalas previstas (exclusivo para linhas suplementadas),alteration,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
IR,Inclusao de etapa (aeroporto de alternativa) devido a um voo especial retorno,alteration,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
VR,Voo especial de retorno (exclusivo para retorno ao aeroporto de origem),alteration,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
VE,Especifico para voo especial de experiencia,alteration,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
VI,Especifico para voo especial de instrucao,alteration,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
HA,Autorizada,schedule_change,authorised,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
HB,"Operacao de voo com mais de 04 horas de atraso, pane aeronave",schedule_change,technical,princident,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
HC,"Operacao de voo com mais de 04 horas de atraso, aeroporto interditado",schedule_change,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
HD,Antecipacao de horario autorizada,schedule_change,authorised,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
HI,Antecipacao de horario autorizada - especifico voos internacionais,schedule_change,other,none,IAC 1504,https://pergamum.anac.gov.br/pergamum/vinculos/IAC1504.pdf,2026-09-05,A
