date,name,type,law,url,source,retrieved_at,confidence
2002-03-29,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2002-05-30,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2003-03-03,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2003-03-04,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2003-04-18,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2003-06-19,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2004-02-23,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2004-02-24,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2004-04-09,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2004-06-10,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2005-02-07,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2005-02-08,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2005-03-25,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2005-05-26,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2006-02-27,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2006-02-28,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2006-04-14,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2006-06-15,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2007-02-19,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2007-02-20,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2007-04-06,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2007-06-07,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2008-02-04,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2008-02-05,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2008-03-21,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2008-05-22,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2009-02-23,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2009-02-24,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2009-04-10,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2009-06-11,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2010-02-15,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2010-02-16,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2010-04-02,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2010-06-03,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2011-03-07,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2011-03-08,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2011-04-22,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2011-06-23,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2012-02-20,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2012-02-21,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2012-04-06,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2012-06-07,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2013-02-11,Segunda-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2013-02-12,Terca-feira de Carnaval,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2013-03-29,Sexta-feira Santa (Sexta-feira da Paixao),observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
2013-05-30,Corpus Christi,observance,"none (not a national holiday by federal law; airline schedules react to it, Carnival is a discretionary government-decreed ""ponto facultativo"")",,computed from Easter Sunday (Anonymous Gregorian / Meeus-Jones-Butcher algorithm),2026-09-05,B
