event,date,type,airlines,source,url,retrieved_at,confidence,note
Apagao aereo - acidente TAM 3054 (Congonhas),2007-07-17,shock,TAM,Wikipedia (pt),https://pt.wikipedia.org/wiki/Voo_TAM_3054,2026-09-05,A,199 mortes (187 na aeronave + 11 no predio da TAM Express + 1 motorista de taxi). Segundo grande acidente do periodo do apagao aereo.
Apagao aereo - periodo regulatorio (fim),2007-12-01,shock,,avaliacao-vra-como-fonte.md (nota de pesquisa do acervo),file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/avaliacao-vra-como-fonte.md,2026-09-05,B,Ver nota da linha de inicio do periodo.
Vasp - falencia decretada (versao Exame),2008-01-01,exit,VSP,exame.com (mesma reportagem da suspensao),https://exame.com/negocios/varig-vasp-transbrasil-o-que-aconteceu-com-as-companhias-aereas-que-donimavam-os-ceus-do-brasil/,2026-09-05,B,"Divergencia entre fontes sobre a data de decretacao da falencia -- ver as duas linhas seguintes. Exame diz 2008 (ano apenas); nao li o trecho literal desta data especifica, por isso B mesmo a fonte sendo a mesma da linha anterior."
CADE aprova compra da Varig pela Gol (sem restricao a slots),2008-06-25,merger,GLO;VRG,Conjur,https://www.conjur.com.br/2008-jun-25/cade_aprova_compra_varig_gol_restricao/,2026-09-05,B,Acesso direto retornou HTTP 403; data vem do slug da URL e de busca convergente.
Crise financeira global 2008-2009 - inicio aproximado (impacto no setor aereo),2008-09-01,shock,,"avaliacao-vra-como-fonte.md (nota do acervo trata 'Crise 2008-2009' como dummy de periodo, fronteiras exatas nao especificadas na nota); data de inicio e conhecimento geral (colapso do Lehman Brothers, 2008-09-15), nao verificada nesta sessao",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/avaliacao-vra-como-fonte.md,2026-09-05,B,Placeholder de calendario (inicio do mes); refinar quando a definicao exata da dummy do laboratorio for localizada.
Azul Linhas Aereas - primeiro voo comercial,2008-12-15,entry,AZU,"busca (fontes convergentes, nao aberta diretamente)",https://www.gov.br/anac/pt-br,2026-09-05,B,Campinas-Salvador e Campinas-Porto Alegre no mesmo dia.
Crise financeira global 2008-2009 - fim aproximado (impacto no setor aereo),2009-12-01,shock,,avaliacao-vra-como-fonte.md (nota do acervo),file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/avaliacao-vra-como-fonte.md,2026-09-05,B,Placeholder de calendario (fim do ano); refinar quando a definicao exata da dummy do laboratorio for localizada.
TAM compra 100% da Pantanal (versao 19/12),2009-12-19,merger,TAM;PTN,"busca (otempo.com.br, correiobraziliense.com.br, SEC filings da TAM S.A.)",,2026-09-05,B,Duas datas divergem entre fontes para o mesmo evento -- ver a linha seguinte (21/12).
TAM compra 100% da Pantanal (versao 21/12),2009-12-21,merger,TAM;PTN,"busca (otempo.com.br, correiobraziliense.com.br, SEC filings da TAM S.A.)",,2026-09-05,B,Ver nota da linha anterior (19/12).
Acordo de fusao Gol-Webjet - intencao anunciada,2011-07-08,merger,GLO;WEB,busca,,2026-09-05,B,
Acordo de fusao Gol-Webjet - assinado,2011-08-02,merger,GLO;WEB,busca,,2026-09-05,B,
CADE aprova fusao TAM-LAN (criacao da LATAM),2011-12-14,merger,TAM;LAN,busca (release original parece fora do ar),,2026-09-05,B,506a Sessao Ordinaria de Julgamento (numero de sessao via busca). Tentativa de abrir cade.gov.br/noticias/antigas/cade-autoriza-criacao-da-latam resultou em redirecionamento (302) para a home do CADE.
Acordo de fusao Azul-Trip - assinado,2012-05-25,merger,AZU;TIB,busca,,2026-09-05,B,
"CADE aprova compra da Webjet pela Gol, com restricoes (TCD)",2012-10-10,merger,GLO;WEB,gov.br/cade,https://www.gov.br/cade/pt-br/assuntos/noticias/cade-aprova-com-restricao-compra-da-webjet-pela-gol,2026-09-05,B,"Dia da semana e dia do mes confirmados por leitura direta (""quarta-feira (10)""); ano (2012) vem de convergencia de busca externa, nao do texto extraido da pagina (que so mostrava metadados de republicacao em gov.br)."
TAM incorpora Pantanal (decisao),2012-11-30,merger,TAM;PTN,busca (flapinternational.com.br),,2026-09-05,B,Fim do CNPJ/marca separada da Pantanal -- decisao.
Vasp - falencia decretada (confirmacao definitiva),2013-01-01,exit,VSP,busca (fontes recentes convergentes),,2026-09-05,B,Fontes recentes falam em confirmacao definitiva da falencia somente em 2013. Processo judicial original nao verificado nesta sessao -- tratar as tres datas de falencia da Vasp como nao resolvidas ate se checar o processo original.
"CADE aprova fusao Azul-Trip, com restricoes (TCD)",2013-03-06,merger,AZU;TIB,gov.br/cade,https://www.gov.br/cade/pt-br/assuntos/noticias/cade-aprova-com-restricoes-fusao-entre-azul-e-trip,2026-09-05,B,"Dia e mes (""6 de marco"") e numero do processo (Ato de Concentracao 08700.004155/2012-81) confirmados por leitura direta; ano (2013) inferido (processo aberto em 2012, aprovacao convergente com busca externa)."
TAM incorpora Pantanal (conclusao),2013-08-23,merger,TAM;PTN,busca (flapinternational.com.br),,2026-09-05,B,Fim do CNPJ/marca separada da Pantanal -- conclusao.
