icao,iata_as_printed,city_as_printed,uf,airport_name_as_printed,in_tables_3_4,note,source,url,retrieved_at,confidence
SBLO,LDB,Londrina,PR,Governador José Richa,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBMO,MCZ,Maceió,AL,Zumbi dos Palmares,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBMQ,MCP,Macapá,AP,Macapá,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBNT,NAT,Natal,RN,Augusto Severo,True,OurAirports record carries no IATA; see docs/notes/references.md section 1,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBPA,POA,Porto Alegre,RS,Salgado Filho,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBPJ,PWM,Palmas,TO,Brigadeiro Lysias Rodrigues,True,IATA printed as PWM; OurAirports gives PMW,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBPS,BPS,Porto Seguro,BA,Porto Seguro,False,"in the Lista de Siglas, absent from Tables 3 and 4","Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBPV,PVH,Porto Velho,RO,Governador Jorge Teixeira de Oliveira,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBRB,RBR,Rio Branco,AC,Presidente Médici,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBRF,REC,Recife,PE,Guararapes - Gilberto Freyre,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBRJ,SDU,Rio de Janeiro,RJ,Santos Dumont,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBRP,RAO,Ribeirão Preto,SP,Dr. Leite Lopes,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBSJ,SJK,São José dos Campos,SP,Prof. Urbano Ernesto Stumpf,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBSL,SLZ,São Luiz,MA,Marechal Cunha Machado,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBSP,CGH,São Paulo,SP,Congonhas,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBSV,SSA,Salvador,BA,Deputado Luís Eduardo Magalhães,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBTE,THE,Teresina,PI,Senador Petrônio Portela,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBUL,UDI,Uberlândia,MG,Ten. Cel. Aviador César Bombonato,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
SBVT,VIX,Vitória,ES,Eurico de Aguiar Salles,True,,"Bendinelli (2013), undergraduate monograph, USP: Lista de Siglas; presence in Tables 3-4 read from the same document (author's own copy, not redistributed)",,2026-09-05,A
