airline,group,start,end,class,note,source,url,retrieved_at,confidence
GLO,GOL,2001-01,,LCC,"Gol Linhas Aereas' own ICAO code since its first commercial flight (2001-01-15, see events.csv); confidence B because the first-flight date itself is a search-summary source (not opened directly).",fontes-vra-anac.md (pesquisa-acervo),https://www.mercadoeeventos.com.br/noticias/aviacao/gol-completa-15-anos-veja-fatos-marcantes-da-historia-da-aerea/,2026-09-05,B
WEB,WEBJET,2005-07,2011-10,LCC,Webjet Linhas Aereas operated as an independent low-cost carrier; start month (2005-07) is the laboratory rule's convention (airline's exact commercial-launch date not independently verified this session).,"laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_13_validar.py,2026-09-05,B
WEB,GOL,2011-11,,LCC,Absorbed into the Gol group. Transition month (2011-11) is the laboratory rule's cut date; the merger agreement was signed 2011-08-02 (intention announced 2011-07-08) and CADE approved the purchase with restrictions on 2012-10-10 (both in events.csv) -- the group mapping does not switch on those dates.,"laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.gov.br/cade/pt-br/assuntos/noticias/cade-aprova-com-restricao-compra-da-webjet-pela-gol,2026-09-05,B
AZU,AZUL,2008-12,,LCC,"Azul Linhas Aereas' own ICAO code since its first commercial flight (2008-12-15, see events.csv); confidence B because the first-flight date is a search-summary source (not opened directly).",fontes-vra-anac.md (pesquisa-acervo),https://www.gov.br/anac/pt-br,2026-09-05,B
TIB,TRIP,2000-01,2012-04,regional,"Trip Linhas Aereas, classified regional per ADR-0003 regardless of parent group; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
TIB,AZUL,2012-05,,LCC,"Absorbed into the Azul group (merger agreement signed 2012-05-25, CADE approved with restrictions 2013-03-06, both in events.csv); class stays 'regional' per ADR-0003 even after the change of corporate group. Class follows the absorbing group (ADR-0003; the laboratory rule that reproduces the FSC proportions counts PTN in TA2 and TIB/TTL in AZ2 after the merger).","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",https://www.gov.br/cade/pt-br/assuntos/noticias/cade-aprova-com-restricoes-fusao-entre-azul-e-trip,2026-09-05,B
TTL,TOTAL,2000-01,2007-10,regional,"Total Linhas Aereas, a regional carrier absorbed by Trip; start 2000-01 is the VRA panel start.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
TTL,TRIP,2007-11,2012-04,regional,"Absorbed into Trip per ADR-0003 ('TTL becomes Trip from 2007-11'). Confidence B: exact regulatory act/date for this absorption not independently verified this session, following the laboratory rule (grupo_from(): a=='TTL' & ym>=200711 -> TI2).","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_13_validar.py,2026-09-05,B
TTL,AZUL,2012-05,,LCC,"Transitively absorbed into Azul when Trip itself joined the Azul group (2012-05), per the laboratory rule's grupo_from() (TI2 group, which by then includes former TTL, reassigned to AZ2 from ym>=201205). Not an independent finding -- inferred by chaining the Trip and Total mappings. Class follows the absorbing group (ADR-0003; the laboratory rule that reproduces the FSC proportions counts PTN in TA2 and TIB/TTL in AZ2 after the merger).","laboratory rule (reconstruir_vra_13_validar.py / reconstruir_vra_08_amostra3.py, grupo_from())",file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_13_validar.py,2026-09-05,B
PTN,PANTANAL,2000-01,2009-11,regional,"Pantanal Linhas Aereas, classified regional per ADR-0003; start 2000-01 is the VRA panel start.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
PTN,TAM,2009-12,,FSC,"TAM bought 100% of Pantanal in December 2009 (sources disagree on the exact day, 19 or 21 -- see events.csv); class stays 'regional' per ADR-0003 even after the change of corporate group. TAM's formal incorporation of Pantanal (end of separate CNPJ/brand) was decided 2012-11-30 and concluded 2013-08-23 (events.csv) -- this row does not split on that later date because ADR-0003 defines only one TAM-group cut (2009-12) for Pantanal. Class follows the absorbing group (ADR-0003; the laboratory rule that reproduces the FSC proportions counts PTN in TA2 and TIB/TTL in AZ2 after the merger).",fontes-vra-anac.md (pesquisa-acervo),https://www.gov.br/cade/pt-br,2026-09-05,B
TAM,TAM,2000-01,,FSC,"TAM and its BLC/SUL codes per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
BLC,TAM,2000-01,,FSC,"TAM and its BLC/SUL codes per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
SUL,TAM,2000-01,,FSC,"TAM and its BLC/SUL codes per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date.",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
TBA,TRANSBRASIL,2000-01,2001-12,FSC,"Transbrasil ceased regular operations 2001-12-03 (last flight landed at Congonhas; bankruptcy was officially decreed in 2002, exact day not confirmed -- see events.csv); start 2000-01 is the VRA panel start.",fontes-vra-anac.md (pesquisa-acervo),https://www.airway.com.br/falida-em-2002-transbrasil-ainda-vive-nos-tribunais/,2026-09-05,B
ITB,TRANSBRASIL,2000-01,2001-12,FSC,"Transbrasil ceased regular operations 2001-12-03 (last flight landed at Congonhas; bankruptcy was officially decreed in 2002, exact day not confirmed -- see events.csv); start 2000-01 is the VRA panel start.",fontes-vra-anac.md (pesquisa-acervo),https://www.airway.com.br/falida-em-2002-transbrasil-ainda-vive-nos-tribunais/,2026-09-05,B
VSP,VASP,2000-01,2005-01,FSC,"Vasp suspended regular flight operations in 2005 (year read directly from Exame; the specific month used here, 2005-01, comes from a single contemporary news report giving 2005-01-27 and was not independently confirmed this session -- Vasp's bankruptcy was decreed on divergent dates depending on the source, see events.csv); start 2000-01 is the VRA panel start.",fontes-vra-anac.md (pesquisa-acervo),https://exame.com/negocios/varig-vasp-transbrasil-o-que-aconteceu-com-as-companhias-aereas-que-donimavam-os-ceus-do-brasil/,2026-09-05,B
ONE,AVIANCA_BRASIL,2000-01,,FSC,"Oceanair Linhas Aereas rebranded as Avianca Brasil (announced 2010-03-26, operating under the new brand from 2010-04-26, see events.csv); ICAO code ONE is unchanged throughout. Start 2000-01 is the VRA panel start, not the airline's actual market-entry date (Oceanair began later than 2000; exact date not verified this session).",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
PTB,PASSAREDO,2000-01,,regional,"Passaredo Linhas Aereas per ADR-0003; start 2000-01 is the VRA panel start, not the airline's founding date (Passaredo's scheduled-service start is likely later, not verified this session).",ADR-0003 (DECISIONS.md),file:///Users/wbendinelli/Documents/airline-delays/DECISIONS.md,2026-09-05,B
ABJ,ABJ,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
ABZ,ABZ,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
AMG,AMG,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
AVI,AVI,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
BRB,BRB,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
LEG,LEG,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
MEL,MEL,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
MSQ,MSQ,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
NHG,NHG,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
NRA,NRA,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
PAM,PAM,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
PEP,PEP,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
PLY,PLY,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
RIO,RIO,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
RLE,RLE,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
SBA,SBA,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
SLX,SLX,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
TIM,TIM,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
TSD,TSD,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
TVJ,TVJ,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
VCR,VCR,2000-01,,other,ICAO code observed as a distinct value of the airline field in the pesquisa-acervo VRA-derived research bases (not read from ANAC's raw monthly files directly in this session). Operating airline name/identity and exact in-VRA date range not independently verified. Default classification 'other' per the build brief; reclassify if/when the data pipeline's own scan of the raw VRA 2000-2013 files identifies the carrier.,acervo VRA-derived research bases,file:///Users/wbendinelli/Documents/pesquisa-acervo/01-atrasos-concentracao/_analises/reconstruir_vra_08_amostra3.py,2026-09-05,B
