column,benchmark_column,definition,tolerance,n,rate,median_abs_diff,p90_abs_diff,n_stable_vintage,rate_stable_vintage,expected_rate,note
all_minsarr,all_minsarr,Article `all_minsarr`: sum of every carrier's signed arrival delay divided by the realised flights of the route-month.,0.01,24551,0.0790599,0.136934,2.48621,15205,0.0729365,,
lccfu_prdelarr,lccfu_prdelarr,"Flights of the Gol and Azul groups, the article's LCC set arriving more than 15 minutes late, over their arrival denominator. The article's ODDS is built on this.",0.0001,19195,0.561969,4.17233e-07,0.0357141,12850,0.53284,,"Gol and Azul, the article's LCC set"
lccclass_prdelarr,lccfu_prdelarr,"Flights of carriers of class LCC, Webjet included arriving more than 15 minutes late, over their arrival denominator. The article's ODDS is built on this.",0.0001,19195,0.514874,4.76837e-07,0.052013,12850,0.475331,,"class LCC, which also holds Webjet"
prwheather,prwheather,"Article `prwheather` (the misspelling is the article's): flights coded AI, AJ, AM, AR, RI, RM, WA, WO, WR, WT, XI, XJ, XM, XO, XS, XT divided by f. Not only weather — its dominant code is AR, restricted airport (ADR-0005). Reproduces at 98.5%.",0.0001,24551,0.883671,2.75671e-07,0.00124219,15205,0.920421,0.985,
princident,princident,"Article `princident`: flights coded DF, DG, HB, MA, TD divided by f. Reproduces at 99.1%.",0.0001,24551,0.924973,1.2666e-07,4.87082e-07,15205,0.956659,0.991,
pr_connc,pr_connc,"Article `pr_connc`: flights coded RA divided by f. RA is aircraft rotation, not passengers held for a connection as the article's label says (declared difference). Reproduces at 99.2%.",0.0001,24551,0.915034,1.6205e-07,4.94532e-07,15205,0.947386,0.992,
lcc,lcc,"Article `lcc`: Gol or Azul present on the route. Here from operations; the benchmark reads it from the tariff base, and the two disagree on about 11% of route-months (declared difference).",0.5,24551,0.888233,0,1,15205,0.91904,,"operation here, ticket sales in the benchmark"
pres_glo,pres_glo,"The Gol group operated the route this month. The benchmark's `pres_glo` is ticket sales, not operation (declared difference).",0.5,24551,0.880412,0,1,15205,0.907202,,"operation here, ticket sales in the benchmark"
pres_azu,pres_azu,The Azul group operated the route this month.,0.5,24551,0.955318,0,0,15205,0.936468,,"operation here, ticket sales in the benchmark"
pres_tam,pres_tam,The TAM group operated the route this month.,0.5,24551,0.913283,0,0,15205,0.927261,,"operation here, ticket sales in the benchmark"
olccfu,olccfu,Article `olccfu`: Gol or Azul operated some route touching the origin city this month.,0.5,24551,0.999715,0,0,15205,1,,
dlccfu,dlccfu,Article `dlccfu`: the same at the destination city.,0.5,24551,0.999715,0,0,15205,1,,
maxalccfu,maxalccfu,Article `maxalccfu`: the larger of olccfu and dlccfu. Reproduces the benchmark on 100% of route-months.,0.5,24551,1,0,0,15205,1,1,
